Month of Stop,Reason for Stop,Officer Race,Officer Gender,Officer Years of Service,Driver Race,Driver Gender,Driver Age,Search Conducted,Results,CMPD Division
2020/01,Speeding,White,M,27,White,F,38,Yes,Verbal Warning,University City Division
2020/01,Vehicle Equipment,White,F,4,Black,M,33,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,25,Black,M,36,Yes,Citation,Steele Creek Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Hispanic/Latino,M,30,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,5,Hispanic/Latino,M,43,Yes,Citation,
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,F,27,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,White,M,33,Yes,Verbal Warning,Westover Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,F,40,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,3,Two or more,M,20,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,White,M,8,White,M,32,Yes,Citation,Westover Division
2020/01,Vehicle Regulatory,White,M,13,Black,M,37,Yes,Citation,North Tryon Division
2020/01,Stop Light/Sign,White,M,6,Two or more,F,30,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,Black/African American,M,3,Black,M,36,Yes,Verbal Warning,
2020/01,Vehicle Equipment,White,M,3,Black,M,30,Yes,None,North Tryon Division
2020/01,Vehicle Equipment,White,F,2,Black,F,30,Yes,Verbal Warning,Westover Division
2020/01,Investigation,White,M,2,Hispanic/Latino,M,22,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,40,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,2,White,F,25,Yes,Written Warning,
2020/01,Vehicle Equipment,White,M,22,White,M,33,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,3,Black,F,19,Yes,Verbal Warning,Westover Division
2020/02,Vehicle Regulatory,White,M,13,Black,F,45,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,27,No,Arrest,Central Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,62,Yes,Verbal Warning,Metro Division
2020/01,Investigation,White,M,2,Black,M,30,Yes,Verbal Warning,Metro Division
2020/01,Speeding,White,M,7,White,M,31,Yes,Citation,Providence Division
2020/02,Vehicle Equipment,White,M,2,Hispanic/Latino,F,40,Yes,Verbal Warning,North Tryon Division
2020/01,Safe Movement,Black/African American,M,2,Black,F,30,Yes,Verbal Warning,Hickory Grove Division
2020/01,Speeding,White,M,7,White,M,30,Yes,Citation,Providence Division
2020/01,Investigation,Black/African American,M,9,Black,M,26,Yes,Citation,Steele Creek Division
2020/01,Speeding,Hispanic/Latino,M,4,Black,M,30,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,4,Black,M,21,Yes,Verbal Warning,North Division
2020/01,Vehicle Equipment,White,M,2,Other/Unknown,M,45,Yes,Verbal Warning,South Division
2020/02,Vehicle Regulatory,White,M,5,White,M,21,Yes,Verbal Warning,Metro Division
2020/01,Speeding,White,M,9,Black,M,50,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,13,Black,M,25,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,7,Black,M,28,Yes,Verbal Warning,Westover Division
2020/01,Stop Light/Sign,Black/African American,M,6,Hispanic/Latino,F,45,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,17,Hispanic/Latino,F,30,Yes,Citation,Freedom Division
2020/01,Vehicle Equipment,Hispanic/Latino,M,6,Black,M,28,Yes,Verbal Warning,Freedom Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,41,Yes,Citation,North Division
2020/01,Speeding,Black/African American,M,10,Black,F,28,Yes,Verbal Warning,University City Division
2020/01,Vehicle Equipment,Asian/Pacific Islander,M,18,White,M,30,Yes,Written Warning,South Division
2020/01,Vehicle Regulatory,White,M,8,Black,M,45,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,F,2,White,M,27,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,19,White,F,44,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,4,White,M,40,Yes,None,Hickory Grove Division
2020/01,Investigation,Black/African American,M,12,Black,M,34,No,Arrest,Independence Division
2020/01,Vehicle Equipment,White,M,4,Black,F,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Stop Light/Sign,Black/African American,M,2,White,F,34,Yes,Verbal Warning,Hickory Grove Division
2020/01,Speeding,White,M,15,Black,F,24,Yes,Citation,Independence Division
2020/01,Vehicle Equipment,Black/African American,M,9,White,F,45,Yes,Verbal Warning,
2020/01,Speeding,Asian/Pacific Islander,M,18,White,M,35,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,6,Black,M,37,Yes,Verbal Warning,Independence Division
2020/01,Stop Light/Sign,Black/African American,M,6,Black,M,24,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,2,Other/Unknown,M,20,Yes,None,Freedom Division
2020/01,Safe Movement,White,M,9,Other/Unknown,M,20,Yes,None,Hickory Grove Division
2020/01,Vehicle Equipment,Black/African American,M,1,Black,M,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,7,Black,M,30,Yes,Verbal Warning,Westover Division
2020/01,Speeding,Black/African American,M,10,Two or more,M,33,Yes,Citation,Central Division
2020/01,Speeding,White,M,7,Black,M,20,Yes,Verbal Warning,Central Division
2020/01,Speeding,White,M,4,Other/Unknown,M,25,Yes,None,South Division
2020/01,Speeding,White,M,4,White,F,25,Yes,Citation,South Division
