Date/Time, City, State, Shape, Duration, Summary, Posted
2023-07-19T17:31:00Z, Dayton, OH, Disk, ~25 seconds, "Reflective disk in broad daylight, headed at 11 degree bearing (south, slightly west)", 7/29/2023
2023-07-13T23:15:00Z, SANDUSKY, OH, Fireball, 3 -5 seconds, Blue light of fire with a flat bottom, 7/29/2023
2023-07-12T23:36:00Z, Fairview Park, OH, Cylinder, 4 seconds, Saw a definitive tick tac like object the size of a dime at arms length about 35 degrees above horizon through sky light window., 7/29/2023
2023-07-11T23:00:00Z, The Plains, OH, Star, 20 minutes, "Looked as bright as a planet, shape can not be determined", 7/29/2023
2023-07-09T23:15:00Z, North Myrtle Beach, OH, Light, 45 Seconds, Light appeared about 25 ft above my head and moves to the right of me and went over the building to my right and disappeared., 7/10/2023
2023-07-09T21:00:00Z, Saint Clairsville, OH, Circle, 7 minutes, Witnessed and videoed floating orb in the sky., 7/29/2023
2023-07-05T23:38:00Z, Reno, OH, Light, 5-7 seconds, Rapidly moving bright light curved and faded into nothing, 7/10/2023
2023-07-05T10:45:00Z, Canal Winchester, OH, Changing, 15 minutes, Saw what appeared to be a large round ball in the sky that became elongated, 7/29/2023
2023-06-25T20:46:00Z, Elida, OH, Oval, 1- 2 minutes, "From the naked eye, object 1 and 2 appeared like a tic tac round shape.", 7/10/2023
2023-06-24T22:35:00Z, Dennison, OH, Circle, 10 minutes, 3 small white orbs moving quickly and changing around formation in ways not aerodynamically possible for human planes. No blinking, 7/10/2023
2023-06-22T13:45:00Z, Cleveland, OH, Chevron, 1 minute, "Blended in with clouds, thought it was a bird, but it reflected light and it was maneuvering quickly, not like a plane.", 7/10/2023
2023-06-02T22:55:00Z, AKRON, OH, Light, 20 seconds?, "Witnessed object moving from left to right in a straight line. Object started dim, became bright, went dim, made weird maneuver, gone.", 7/10/2023
2023-06-02T01:21:00Z, Lakewood, OH, Diamond, 20 seconds, "It was triangular, white, glowing, and soundless", 7/10/2023
2023-06-01T13:55:00Z, Sylvania, OH, Changing, About 5 min, "Two crafts without noise, floating but would change shape and move so fast and reappear. Looked like the lights was a reflection", 7/10/2023
2023-06-01T04:00:00Z, mansfield/miffland, OH, Changing, about 30 seconds, I was at work on on a trash truck when a tall figure peeked at me. We never broke eye contact and it hunched over and ran to the woods., 7/10/2023
2023-05-31T21:46:00Z, LIBERTY TOWNSHIP, OH, Changing, 3 hours for days, "Looks like a space craft, second picture when it moved and can see an angelic figure", 7/10/2023
